"Part";"Value";"Device";"Package";"Description";"DNAME";"REVNUM";
"BATT1";"MIKROE-1120";"PH_1X02HEADER_PTH";"HEADER_01X02_PTH";"2 pin connectors";"";"";
"C1";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C2";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C3";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C4";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C5";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C6";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C7";"10uF";"CAPACITOR_NON_POLAR1206";"1206";"Capacitor Non Polarized";"";"";
"C8";"10uF";"CAPACITOR_NON_POLAR1206";"1206";"Capacitor Non Polarized";"";"";
"C9";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C10";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C11";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C12";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C13";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C14";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C15";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C16";"0.01uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C17";"10uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C18";"0.01uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C19";"10uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C20";"0.01uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C21";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C22";"0.01uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C23";"10uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C24";"0.01uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
